quote_id,year,make,model,mileage,location_zip,percent_to_market,market_avg_days_to_sell,n_similar_vehicles_listed,region_short_code,exact_list_price,wholesale_price,seller_source,expected_margin
0061a00000GYdUTAA1,2010,Honda,Civic,118620,20613,0.943078938,42,344,us/was,8247,4875,iOS,0
0061a00000GNU0kAAH,2015,Nissan,Altima,25500,22191,0.955967342,106,470,us/was,16447,13350,shift.com,0
0061a00000F8BrbAAF,2014,Subaru,Forester,24000,94010,0.971366075,50,37,us/sfo,24793,21700,shift.com,250
0061a00000G71NmAAJ,2011,BMW,3 Series,81000,92801,0.962109908,73,103,us/sna,14065,10450,shift.com,0
0061a00000FapBuAAJ,2010,Audi,Q5,68527,94022,0.956505677,48,34,us/sfo,21202,19050,shift.com,0
0061a00000GZsdXAAT,2015,Subaru,Legacy,17795,94022,0.972618143,101,84,us/sfo,26305,23500,shift.com,0
0061a00000GB1JeAAL,2013,Acura,TL,23423,20176,0.961977515,73,190,us/was,22109,19900,shift.com,0
0061a00000Fwtt4AAB,2016,Ford,Fusion Energi,16680,94022,0.916135891,171,19,us/sfo,24181,20900,shift.com,0
0061a00000F7p91AAB,2011,BMW,M3,57000,91423,0.965848615,87,91,us/lax,34461,30800,shift.com,0
0061a00000GBRsIAAX,2011,Toyota,Camry,44000,90703,0.948872794,69,737,us/sna,12509,9025,shift.com,0
0061a00000GR9OBAA1,2008,Jeep,Compass,92000,22033,0.946753357,52,19,us/was,8817,6650,shift.com,0
0061a00000Ga1QLAAZ,2015,Volvo,S60,24785,94022,0.945963939,94,196,us/sfo,23087,18950,shift.com,0
0061a00000H2TxUAAV,2014,Kia,Forte,17204,94022,0.944093558,69,414,us/sfo,12549,9375,shift.com,0
0061a00000HAiQyAAL,2010,Mini,Cooper S,22488,94022,0.938706702,41,28,us/sfo,14442,10950,shift.com,0
0061a00000GaH56AAF,2004,Toyota,Corolla,125000,94611,0.911287451,30,94,us/sfo,5658,2550,shift.com,0
0061a00000Fwtp2AAB,2015,Audi,A4,9770,94022,0.966085401,31,41,us/sfo,33724,28400,shift.com,0
0061a00000F7jJMAAZ,2014,Honda,Accord,12000,92612,0.960206437,111,36,us/sna,17997,16650,shift.com,0
0061a00000EvjY5AAJ,2013,Audi,Q7,26000,94555,0.967976281,73,169,us/sfo,38339,33600,shift.com,0
0061a00000Fuu9sAAB,2012,Nissan,Altima,72194,90057,0.953661152,65,40,us/lax,13255,8575,shift.com,3075
0061a00000Fb1K9AAJ,2012,Nissan,Frontier,30000,91356,0.941932383,65,20,us/lax,17274,13800,shift.com,0
0061a00000FwpFFAAZ,2014,Hyundai,Sonata,36000,94134,0.960106643,130,74,us/sfo,16347,14500,shift.com,0
0061a00000F7C51AAF,2010,Toyota,Corolla,108005,94110,0.952562139,43,20,us/sfo,9440,7275,shift.com,1675
0061a00000F8Tt9AAF,2013,BMW,5 Series,23784,94022,0.956256753,98,242,us/sfo,32027,31200,shift.com,0
0061a00000F7p9aAAB,2012,Ford,Mustang,30000,94118,0.976055038,109,67,us/sfo,38602,35400,shift.com,0
0061a00000FwxlWAAR,2013,Honda,Accord,18309,94022,0.964618645,60,452,us/sfo,20899,18400,shift.com,0
0061a00000FbECvAAN,2007,Honda,Civic,65000,94303,0.912450408,46,201,us/sfo,9508,6375,shift.com,2975
0061a00000FuDJGAA3,2011,Ford,Mustang,14485,94551,0.976738209,75,48,us/sfo,39783,35400,shift.com,3550
0061a00000GWIMOAA5,2004,Cadillac,Escalade,69452,20744,0.914921415,56,32,us/was,9176,6725,shift.com,0
0061a00000GB2MZAA1,2007,BMW,M6,59400,94596,0.959964354,89,57,us/sfo,29058,24700,shift.com,0
0061a00000GpQhDAAV,2012,Fiat,500,40000,90036,0.918030968,65,89,us/lax,8096,5175,shift.com,0
0061a00000FwlwxAAB,2008,Porsche,911,49750,94582,0.97545773,130,23,us/sfo,46466,0,shift.com,46950
0061a00000GXWGjAAP,2013,Honda,Civic,37000,90292,0.967300985,50,907,us/lax,14254,11000,shift.com,0
0061a00000F8R2HAAV,2010,Mazda,Mazda3,57000,94555,0.941975901,52,109,us/sfo,9783,6775,shift.com,0
0061a00000FvjwbAAB,2013,Nissan,Sentra,40000,91423,0.948777882,55,681,us/lax,12063,9175,shift.com,0
0061a00000GQttOAAT,2013,Ford,Escape,43392,90254,0.965345463,66,77,us/lax,15712,12600,shift.com,0
0061a00000G9I7jAAF,2013,Kia,Rio,29774,94022,0.963990999,76,26,us/sfo,11783,8525,shift.com,0
0061a00000F7xIuAAJ,2014,Honda,Accord,45000,95128,0.968618663,76,277,us/sfo,18899,16300,shift.com,1650
0061a00000GoqSNAAZ,2015,Honda,CR-V,17000,91324,0.971466203,72,156,us/lax,19446,17500,shift.com,0
0061a00000GAsDpAAL,2009,Honda,CR-V,67700,90066,0.944745796,52,144,us/lax,12568,9150,iOS,0
0061a00000GahDVAAZ,2008,Honda,CR-V,40000,91423,0.946012165,83,506,us/lax,13203,9800,shift.com,0
0061a00000G9RyhAAF,2014,Lexus,IS,21000,92841,0.96023201,45,34,us/sna,38084,36000,shift.com,0
0061a00000GXyahAAD,2013,Mini,Cooper S,39160,94022,0.96183329,80,234,us/sfo,15977,,shift.com,0
0061a00000GBIojAAH,2014,Mercedes-Benz,E-Class,30000,90069,0.9595581,64,451,us/lax,31616,29000,shift.com,0
0061a00000GBjCCAA1,2013,Hyundai,Veloster,13000,94118,0.948999552,210,51,us/sfo,13393,0,shift.com,13950
0061a00000FuxxhAAB,2013,BMW,3 Series,51000,91709,0.962962892,68,80,us/lax,21927,18100,shift.com,0
0061a00000GR99aAAD,2010,Lexus,IS,42000,94611,0.961771687,73,97,us/sfo,24194,21700,shift.com,0
0061a00000F83dqAAB,2012,Toyota,Prius c,54000,94403,0.964366938,53,36,us/sfo,12739,10100,shift.com,1550
0061a00000GZUpAAAX,2016,Lexus,CT,5000,91307,0.945258978,109,21,us/lax,31496,0,shift.com,0
0061a00000FvCuLAAV,2012,Acura,MDX,20000,94941,0.971041199,53,109,us/sfo,29725,27600,shift.com,0
0061a00000F85evAAB,2009,Toyota,Corolla,131000,94546,0.931069644,49,375,us/sfo,7537,5050,shift.com,0
0061a00000GXuSIAA1,2004,Toyota,Camry,55420,91745,0.906116262,67,184,us/lax,6443,4075,shift.com,0
0061a00000Ft7DcAAJ,2006,Honda,Civic,99500,94109,0.925864329,61,174,us/sfo,8014,4750,shift.com,2900
0061a00000GYKJAAA5,2014,Subaru,Impreza,31533,94022,0.96453257,29,23,us/sfo,26820,22000,shift.com,0
0061a00000GY1hhAAD,2012,Honda,Accord,88828,91773,0.956302223,42,59,us/lax,11199,7800,iOS,0
0061a00000GaJZ3AAN,2014,BMW,3 Series,20000,20902,0.957895618,74,203,us/was,24729,21700,shift.com,0
0061a00000FwtubAAB,2013,Ford,Focus Electric,28060,94022,0.941348344,68,78,us/sfo,10256,6925,shift.com,0
0061a00000F8cCCAAZ,2013,Audi,allroad,40000,90026,0.968619242,153,33,us/lax,28384,26900,shift.com,0
0061a00000FwZfBAAV,2010,Mercedes-Benz,SLK-Class,49700,95035,0.963379467,57,13,us/sfo,21872,17850,shift.com,0
0061a00000Fuk1tAAB,2005,Scion,xA,93000,90045,0.890968727,67,75,us/lax,5769,2600,shift.com,3300
0061a00000GXyiMAAT,2013,BMW,3 Series,22500,20001,0.968085557,82,23,us/was,22945,19850,shift.com,0
0061a00000F7WnzAAF,2014,Mazda,CX-5,32498,94022,0.975719262,59,63,us/sfo,22251,19450,shift.com,0
0061a00000GNZ41AAH,2013,Fiat,500,28000,94109,0.939700169,68,148,us/sfo,9437,6500,shift.com,0
0061a00000GasNtAAJ,2015,Hyundai,Sonata,23000,94596,0.960598373,178,75,us/sfo,22155,,shift.com,0
0061a00000GX300AAD,2013,Lexus,CT,44250,94022,0.960293537,47,508,us/sfo,19416,15800,shift.com,0
0061a00000GB7COAA1,2015,Nissan,Sentra,20000,22193,0.957891195,51,1290,us/was,14307,10900,shift.com,0
0061a00000F7WpHAAV,2014,Audi,A5,9500,94596,0.969458817,77,35,us/sfo,32651,29400,shift.com,0
0061a00000GZfGkAAL,2011,Honda,CR-V,37575,94022,0.953347935,88,223,us/sfo,14852,11550,shift.com,0
0061a00000GZnlWAAT,2011,Nissan,Cube,64000,91706,0.921721595,72,80,us/lax,9276,6175,shift.com,0
0061a00000FwZkVAAV,2013,BMW,5 Series,31658,94022,0.959045739,68,73,us/sfo,32136,28700,shift.com,0
0061a00000GBrLIAA1,2012,Toyota,Sienna,57700,94706,0.951605474,57,95,us/sfo,18154,14350,shift.com,-350
0061a00000GC499AAD,2010,Mini,Cooper S,47000,94002,0.950603729,54,25,us/sfo,12436,8525,iOS,0
0061a00000GZoLtAAL,2015,Hyundai,Elantra,31300,20601,0.952856206,90,152,us/was,13407,11950,shift.com,0
0061a00000GaxhwAAB,2015,Volvo,S60,35500,90250,0.941704171,73,27,us/lax,25413,22100,shift.com,0
0061a00000FvkEaAAJ,2013,Volkswagen,Tiguan,50000,94114,0.940319368,67,106,us/sfo,14269,12050,shift.com,0
0061a00000FvDluAAF,2012,Volkswagen,Jetta SportWagen,37990,94022,0.945685177,0,5,us/sfo,13041,,shift.com,0
0061a00000GadXoAAJ,2011,Toyota,Prius,88000,90703,0.951743595,51,150,us/sna,11076,7875,shift.com,3075
0061a00000FvkpuAAB,2014,BMW,X1,33113,94022,0.966594942,0,6,us/sfo,25645,22200,shift.com,0
0061a00000GXBAkAAP,2015,Toyota,Prius,2635,94022,0.967770421,50,126,us/sfo,19098,15250,shift.com,0
0061a00000GaroFAAR,2007,Porsche,911,50000,94133,0.971271962,0,7,us/sfo,43631,42000,shift.com,0
0061a00000H2bAcAAJ,2011,Mini,Cooper S Countryman,44620,94022,0.95229421,105,65,us/sfo,15649,13250,shift.com,0
0061a00000FahG1AAJ,2013,Hyundai,Elantra,23000,94025,0.946106865,63,2803,us/sfo,13437,10500,shift.com,0
0061a00000FwB5jAAF,2002,Lexus,IS,98000,94066,0.876916462,55,16,us/sfo,6318,2675,iOS,0
0061a00000Ga8hkAAB,2007,Toyota,Prius,113392,90266,0.947044887,80,38,us/lax,6884,3525,shift.com,0
0061a00000GZ8HaAAL,2015,Nissan,Sentra,10100,94306,0.955238006,81,1205,us/sfo,13895,11500,shift.com,0
0061a00000Ftq82AAB,2010,Ford,Fusion,72000,91214,0.942757739,49,150,us/lax,11507,9000,shift.com,650
0061a00000Ga8dsAAB,2012,Honda,Accord,27000,90063,0.957140938,68,128,us/lax,15325,12000,shift.com,2950
0061a00000GX31IAAT,2012,Lexus,IS,37237,94022,0.958143565,69,158,us/sfo,22012,19350,shift.com,0
0061a00000GApFQAA1,2011,Acura,MDX,38000,94040,0.966411393,0,9,us/sfo,26484,24000,shift.com,1950
0061a00000GZ6xTAAT,2011,Honda,CR-Z,22000,94102,0.934403676,0,11,us/sfo,11779,8925,shift.com,2725
0061a00000Ev1iQAAR,2010,Volkswagen,Tiguan,5900,95118,0.950568867,77,49,us/sfo,15027,11350,iOS,0
0061a00000F7oRBAAZ,2013,Honda,Civic,33557,94022,0.965343069,56,2351,us/sfo,14551,11150,shift.com,0
0061a00000GZMcpAAH,2016,Subaru,Outback,11000,94513,0.981310408,66,76,us/sfo,30715,0,shift.com,0
0061a00000GoToSAAV,2011,Volkswagen,CC,64830,94022,0.952977874,85,62,us/sfo,10945,7500,shift.com,0
0061a00000Ev1yiAAB,2014,Kia,Soul,39089,94022,0.956949335,52,167,us/sfo,13618,10750,shift.com,0
0061a00000Fv2iXAAR,2012,Ford,Escape,70000,94109,0.948683427,84,334,us/sfo,13228,9525,shift.com,2125
0061a00000GauDeAAJ,2012,Nissan,Altima,86000,91789,0.925334545,110,2635,us/lax,9806,6350,iOS,0
0061a00000GXAiEAAX,2013,Toyota,Prius,33696,94022,0.964628912,57,187,us/sfo,16550,13700,shift.com,0
0061a00000GZ7RaAAL,2008,Honda,Accord,118000,94538,0.935450648,240,39,us/sfo,9546,6675,shift.com,-1925
0061a00000GB4rZAAT,2007,Nissan,Altima,85000,94089,0.895498245,50,37,us/sfo,7596,4150,shift.com,3500
0061a00000FwwEmAAJ,2013,Infiniti,G37,29500,94109,0.956315725,65,22,us/sfo,23576,21900,shift.com,-3650
0061a00000GQsAYAA1,2014,Honda,Accord,60000,95401,0.963961703,83,437,us/sfo,16808,13600,iOS,0
0061a00000GNPbQAAX,2013,Scion,FR-S,34000,90403,0.970529091,142,124,us/lax,17521,15600,shift.com,0
0061a00000GoTfaAAF,2009,Lexus,GS,51000,95126,0.967662151,77,33,us/sfo,20108,17450,shift.com,0
0061a00000FaiAsAAJ,2014,Toyota,Camry,12675,22201,0.957134378,79,602,us/was,16694,14550,shift.com,400
0061a00000FaoevAAB,2013,Kia,Optima,60000,94040,0.966709625,57,258,us/sfo,15332,11900,shift.com,0
0061a00000GYZNnAAP,2014,Toyota,Prius,45000,92882,0.963164179,53,137,us/lax,14940,,shift.com,0
0061a00000GBaMLAA1,2011,BMW,M3,29000,20852,0.956906622,94,23,us/was,35931,34600,shift.com,0
0061a00000F86zBAAR,2009,Subaru,Forester,66513,94022,0.944210914,61,293,us/sfo,11939,9775,shift.com,0
0061a00000GB50bAAD,2008,BMW,M3,50000,94110,0.962844965,66,48,us/sfo,32125,28800,shift.com,3150
0061a00000G6y5GAAR,2013,Ford,Escape,24234,94022,0.965199333,75,115,us/sfo,20810,17900,shift.com,0
0061a00000GW4JBAA1,2016,BMW,M4,13000,94124,0.977059611,185,30,us/sfo,64779,,shift.com,0
0061a00000FvYTJAA3,2013,Toyota,Prius,61666,94022,0.957827059,70,429,us/sfo,13616,11300,shift.com,0
0061a00000GWBiXAAX,2016,BMW,3 Series,8500,94301,0.963126596,131,29,us/sfo,45936,42100,shift.com,0
0061a00000EvjRTAAZ,2014,Hyundai,Veloster,39202,94022,0.954540169,62,46,us/sfo,13510,11350,shift.com,0
0061a00000GNUksAAH,2012,Toyota,Corolla,51120,95122,0.949626048,67,619,us/sfo,11016,7675,shift.com,0
0061a00000FaiPyAAJ,2010,Volkswagen,Tiguan,59000,95118,0.957842178,71,49,us/sfo,13531,10000,iOS,0
0061a00000GX8JOAA1,2012,Volkswagen,Tiguan,55000,94080,0.948880338,36,21,us/sfo,14566,11800,shift.com,0
0061a00000HAtB9AAL,2013,Toyota,Yaris,51000,91801,0.939290777,83,76,us/lax,9928,7650,shift.com,0
0061a00000GZN4NAAX,2015,Acura,ILX,1000,94114,0.961206159,84,130,us/sfo,22146,19300,iOS,0
0061a00000GXARuAAP,2011,Chevrolet,Cruze,46621,94025,0.949818223,70,302,us/sfo,11100,7975,shift.com,0
0061a00000GXX9SAAX,2013,Acura,TSX,35890,94022,0.962247078,96,15,us/sfo,19802,0,shift.com,0
0061a00000GWOk2AAH,2012,Honda,Civic,43000,94015,0.948135396,61,622,us/sfo,13074,9700,shift.com,1950
0061a00000F7nxwAAB,2014,Fiat,500L,42000,94401,0.939135811,73,58,us/sfo,11597,8450,shift.com,0
0061a00000GaXHxAAN,2013,Toyota,Corolla,53231,94587,0.954259179,63,1061,us/sfo,11869,8675,shift.com,0
0061a00000GZByAAAX,2008,Toyota,Avalon,60000,91761,0.938264204,70,115,us/lax,12237,9575,shift.com,0
